상품명,URL,상세정보
엘빈즈 이유식 초기/중기/후기/완료기 골고루 랜덤 30팩 : 다나와 가격비교,https://prod.danawa.com/info/?pcode=25963064&cate=16249098,"제조회사:헬스밸런스/인증:적합성평가인증,안전확인인증/등록년월일:2023년 05월"
베이비본죽 완료기 이유식 E세트 1세트 : 다나와 가격비교,https://prod.danawa.com/info/?pcode=25955294&cate=16249098,"제조회사:순수본 베이비본죽/인증:적합성평가인증,안전확인인증/등록년월일:2022년 08월"
엘빈즈 클래식 이유식 볶음밥 6단계 160g (1개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21219674&cate=16249098,"제조회사:헬스밸런스/품목:수제이유식/최소연령:12개월~/용량:160g/수량(개수):1개/수량(팩수):160g x 1개/보관방식:냉장/인증:무항생제인증,적합성평가인증,안전확인인증/인증정보:HACCP인증/등록년월일:2019년 07월"
매일유업 맘마밀 안심이유식 퓨레 사과와 고구마 100g (3개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21224447&cate=16249098,"제조회사:매일유업/품목:레토르트이유식/포장용기:파우치/최소연령:6개월~/용량:100g/수량(개수):3개/재료:정제수,증숙고구마,사과퓨레,바나나퓨레,유기농쌀/보관방식:상온/인증:적합성평가인증,안전확인인증/인증정보:HACCP인증/등록년월일:2021년 03월"
아이배냇 베베 순간장소스 국물용 190ml (2개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=56503367&cate=16249098,"제조회사:아이배냇/품목:양념/최소연령:10개월~/종류:간장/용량:190ml/수량(개수):190ml x 2개/용도:국물조림용/인증:적합성평가인증,안전확인인증/등록년월일:2015년 07월"
매일유업 맘마밀 퓨레 오트밀과 사과프룬 100g (30개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=31650161&cate=16249098,"제조회사:매일유업/품목:레토르트이유식/형태:액상/포장용기:파우치/최소연령:6개월~/인증:적합성평가인증,안전확인인증/인증정보:HACCP인증/등록년월일:2023년 12월"
루솔 프리미엄 3단계 진밥 180g (26개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=27752729&cate=16249098,"제조회사:에코패밀리 루솔/품목:수제이유식/최소연령:10개월~/형태:진밥/용량:180g/수량(개수):26개/보관방식:냉장/인증:적합성평가인증,안전확인인증/인증정보:HACCP인증/등록년월일:2019년 12월"
아이배냇 순 발아 참기름 참깨 2병 75ml : 다나와 가격비교,https://prod.danawa.com/info/?pcode=27470696&cate=16249098,"제조회사:아이배냇/인증:적합성평가인증,안전확인인증/등록년월일:2023년 04월"
아이배냇 영양죽 한우사골죽 160g (2개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=65229206&cate=16249098,"제조회사:아이배냇/품목:레토르트이유식/용량:160g/보관방식:상온/인증:적합성평가인증,안전확인인증/인증정보:HACCP인증/등록년월일:2024년 09월"
짱죽 실온이유식 2단계 죽 160g (4개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21219866&cate=16249098,"제조회사:짱죽/품목:수제이유식/최소연령:7개월~/형태:죽/용량:160g/수량(개수):4개/보관방식:상온/인증:무항생제인증,적합성평가인증,안전확인인증/인증정보:HACCP인증/등록년월일:2019년 07월"
루솔 프리미엄 4단계 아기밥 180g (12개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21208601&cate=16249098,"제조회사:루솔/품목:수제이유식/최소연령:13개월~/형태:아기밥/용량:180g/수량(개수):12개/보관방식:냉장/인증:적합성평가인증,안전확인인증/등록년월일:2014년 03월"
남양유업 맘스쿠킹 소고기라따뚜이 아기밥 140g (1개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=62572223&cate=16249098,"제조회사:남양유업/품목:레토르트이유식/최소연령:15개월~/용량:140g/보관방식:상온/인증:적합성평가인증,안전확인인증/인증정보:HACCP인증/등록년월일:2024년 08월"
베이비본죽 완료기 이유식 B세트 1세트 : 다나와 가격비교,https://prod.danawa.com/info/?pcode=25961072&cate=16249098,"제조회사:순수본 베이비본죽/인증:적합성평가인증,안전확인인증/등록년월일:2022년 05월"
매일유업 맘마밀 안심밥상 닭백숙 찹쌀진밥 140g (10개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21215342&cate=16249098,"제조회사:매일유업/품목:레토르트이유식/포장용기:파우치/최소연령:15개월~/형태:진밥/용량:140g/수량(개수):10개/보관방식:상온/인증:적합성평가인증,안전확인인증/등록년월일:2019년 09월"
남양유업 맘스쿠킹 바나나 사과 배 100g (10개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21231185&cate=16249098,"제조회사:남양유업/품목:레토르트이유식/포장용기:파우치/최소연령:6개월~/원산지:국내산/보관방식:상온/인증:적합성평가인증,안전확인인증/인증정보:HACCP인증/등록년월일:2022년 03월"
가보팜스 가보팜스 사과 고구마퓨레 90g (8개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=76559972&cate=16249098,"제조회사:가보팜스/품목:수제이유식/포장용기:플라스틱병/종류:퓨레/용량:90g/수량(개수):8개/표시기준분량:90g/열량:115kcal/탄수화물:28g/탄수화물(%):9%/당류:12g/단백질:1g미만/단백질(%):1%/지방:0g/지방(%):0%/포화지방:0g/포화지방(%):0%/트랜스지방:0g/트랜스지방(%):0%/콜레스테롤:0mg/콜레스테롤(%):0%/나트륨:20mg/나트륨(%):1%/재료:고구마퓨레 75%)),군고구마퓨레 10%)),사과퓨레 25%, 비타민 C/원산지:국내산/보관방식:상온/인증:적합성평가인증,안전확인인증/인증정보:HACCP인증/등록년월일:2022년 04월"
아이배냇 배냇밀 후기 소고기표고버섯쌈배추죽 100g (10개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=72916736&cate=16249098,"제조회사:아이배냇/품목:레토르트이유식/최소연령:9개월~/용량:100g/원산지:국내산/보관방식:상온/인증:적합성평가인증,안전확인인증/등록년월일:2024년 12월"
아이배냇 배냇밀 완료기 닭가슴살비트진밥 100g (10개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=72917648&cate=16249098,"제조회사:아이배냇/품목:레토르트이유식/최소연령:12개월~/용량:100g/원산지:국내산/보관방식:상온/인증:적합성평가인증,안전확인인증/등록년월일:2024년 12월"
베베쿡 처음먹는 덮밥 소스 카레 200g (4개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=36798284&cate=16249098,"제조회사:베베쿡/품목:양념/최소연령:12개월~/無첨가:L-글루탐산나트륨/보관방식:상온,냉장/인증:적합성평가인증,안전확인인증/인증정보:HACCP인증/등록년월일:2023년 07월"
엘빈즈 우리아이 사골곰탕 150g (1개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21428144&cate=16249098,"제조회사:헬스밸런스/품목:아기국/최소연령:12개월~/용량:150g/수량(개수):1개/표시기준분량:150g/열량:20kcal/탄수화물:0g/탄수화물(%):0%/당류:0g/단백질:2g/단백질(%):3%/지방:1.2g/지방(%):2%/포화지방:0.5g/포화지방(%):3%/트랜스지방:0g/콜레스테롤:0mg/콜레스테롤(%):1%/나트륨:20mg/나트륨(%):1%/보관방식:상온/인증:적합성평가인증,안전확인인증/인증정보:HACCP인증/등록년월일:2019년 04월"
루솔 프리미엄 1단계 미음 140g (12개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21208550&cate=16249098,"제조회사:에코패밀리 루솔/품목:수제이유식/최소연령:4개월~/형태:미음/용량:180g/수량(개수):180g x 12개/보관방식:냉장/인증:적합성평가인증,안전확인인증/등록년월일:2013년 09월"
